"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","8399229203.37139","10948234834.7007","14726601164.4413","14612255950.6213","12748203735.757","12459885762.8451","15000933835.0443","18482464846.4284","21495903580.0192","20906830880.5371","19631686878.0636","19385911622.618","20469650220.1742","23034262941.2848","26554303286.9639","28686459942.9634","30263526809.4329","32618765050.2979","33713368748.6584","35343162386.9609","35844144873.3432","36601374717.0868","39239825917.3401","43235500965.1967","47648031016.773","51007260846.1778","52908196769.2122","55712709024.5614","57006615191.2002","57885640079.6611","62202314641.834","69524380790.8462","76610789245.4358","80896041680.7747","86325073162.2388","95691429190.0205","106130805233.652","118314764905.932","133329559579.162","146832856920.569","158805147550.525","171232930861.854","191338510755.539","225591727898.942","266736774826.827","329854436730.53","366469040884.315","385238514893.684","435560113926.691","483370788278.341","493931963339.332","490163577971.904",
"Bulgaria","BGR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","21029650794.0748","18679756142.9839","18027947125.2572","17466578583.112","19588769136.5517","24404178344.696","27889860110.0578","25143313521.7937","19583467212.2807","11610404363.5337","9771666453.93949","8733697415.85512","9864100076.57514","12758062477.3883","13272484390.6679","12129809311.0408","11856359065.7792","12149490708.924","13565906176.3777","14195793858.1068","15421104186.5552","18444531870.0916","23597391555.1374","29128687069.5983","32658103721.2012","36335942277.3249","45505597143.278","49728140877.3374","51816679437.6275","53343217968.9701","54725770278.3692","55163102656.8662","55497390763.7158","53215970339.4541","52585518867.1463","53737955575.6436","59557701786.9988","65755733593.6226","66188682307.2437","76291175780.9987","84720088956.2712","91979653434.5682","98739790334.6577",
"Bahrain","BHR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","2728505859.91435","3187761038.96772","3287840336.64102","3628805041.75824","3790810479.94248","3314646402.11584","3132765171.58971","3458355360.20034","3628046131.46417","3686362522.58631","4497900920.27458","4994683407.66845","5171129913.07076","5380447661.954","5321909079.74719","5852426587.36711","6244712152.53559","6133273896.19489","6178095375.05968","6284399978.0825","7966747271.0869","8415750863.98044","8864867979.74877","10077169468.8173","12089682795.3195","14713723055.5465","17146154832.5775","20366230282.6921","23250102328.4069","22319121643.7341","23963642660.8824","23944651379.6742","29821037871.6857","32547394074.3183","33494795735.0098","32398179121.1868","32348153026.6238","33567083870.0418","36371870888.2636","38283637016.1469","35142545161.3871","37975991072.7288","43142062339.6955","44889724925.2661","45764136213.6306",
"Bahamas, The","BHS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","188206599.741794","210199949.532245","235259712.06274","265956571.832477","301109543.243293","344332739.216076","397214404.02145","462755357.777438","501493449.128424","545465907.846428","567379827.248514","679535213.253812","710279951.81659","876724605.235935","601319732.637418","663176664.485199","750413498.056114","1070542472.64758","1274477880.51303","1246649509.31569","1400928838.17652","1494485086.15898","1770748663.70244","1996436628.03921","2246851633.71516","2626461031.80348","2898852368.36939","3130723131.32385","3040510047.89487","2956545706.52879","3073669659.33787","3066883022.01647","3199907521.47022","3995583280.45992","4524381725.08642","4185965166.40937","5104093979.22839","7112422099.5114","7732579723.37593","8038571753.51302","8364163113.54827","8693917815.40148","9332468908.79204","9932077373.24245","10182287902.2606","10489838620.7701","10620272829.927","10131134796.8278","10040047174.0577","10031455235.2701","10478115764.8342","10182463794.4421","10404763843.2539","10642788912.4057","10795875943.0009","11544982147.7816","12036531845.2971","12483956933.4685","9966696173.20513","11855352772.6226","13431595517.4497","14196598420.2964","",
"Bosnia and Herzegovina","BIH","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4818356144.91312","3834202297.54026","2143516181.2747","1878141588.59622","2482604710.3379","3599923280.2885","5016160270.53487","5253915820.91549","5525188055.324","5928942219.17245","6574027717.61634","7649975033.16263","10154900522.9105","11522099104.0906","12846776654.0176","14754558803.8339","17762735039.0656","18577059977.5634","18360908053.0036","18340376801.0036","17987304621.4943","18664887593.6192","18455365504.0008","18086544442.6312","17600401100.0363","17385647666.2767","19385968203.0569","20687550970.1911","20316003116.5814","22606222235.567","24693503903.0648","26348207109.8122","27298381572.0199",
"Belarus","BLR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17186671382.2424","16447236427.61","14883397398.5218","13964428629.3903","14772930754.8511","15585235720.8958","15716559759.3878","14138688450.9927","13765809022.7219","12926037357.651","13638304687.3243","15937211153.0067","21128550069.2885","27217479700.7776","33761151071.2087","41176324223.1085","52095905451.9502","53836607766.2559","58319034055.4074","60083198018.283","62669501449.7778","66408067706.2047","71991077670.6338","63800961503.5867","53366156238.8943","50355237450.4886","54056817025.4418","59991271909.6961","60152654567.6468","65477991715.4502","66525038948.5186","72041609266.1581","75231909884.5218",
"Belize","BLZ","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","31790496.2156194","33773265.8072981","35978342.6083151","39103687.6940338","43127191.7363712","47296310.2263627","48765049.579913","49722757.1602897","51723172.9159501","56207254.9560036","65823205.3918182","77391723.8030797","95508678.4862882","112407298.264106","107925333.578759","117219108.38787","128748220.730425","158196087.755245","221768207.471274","252190162.330768","262705782.689963","244586239.565293","255900337.038348","272383351.655053","312083993.649671","377608679.401133","447256411.969732","507136980.884665","563464212.253702","621974146.265242","705135981.994893","747542484.559165","756681428.308772","795416308.41111","822192368.883631","859754452.545439","869856591.291706","946369340.709608","1078077521.8529","1109772468.68289","1165784302.39207","1273322827.94927","1359082295.19937","1413705866.0058","1486679025.27836","1542903344.66572","1573514040.71977","1652083352.8037","1616167753.86716","1684251336.01883","1774824805.09338","1904692375.96767","1978388202.61881","2064330607.34388","2060704785.59692","2049953906.46705","2141499623.6666","2264783346.2255","2018975568.55443","2409394975.90124","2701899698.08673","2833194956.38381","3187641996.85925",
"Bermuda","BMU","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6739210221.81121","6560076917.15152","6486349907.8492","6614504760.55766","6508284316.16824","6596440014.57268","6689406375.36548","7213810392.16825","7478242793.52089","7495626006.60934","7144127971.98838","7784007213.3193","8559624501.93118","8701567692.86913","9066859144.5741",
"Bolivia","BOL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","2791526138.06045","3056171972.06099","3491986203.422","4157509099.88649","4571278452.60776","5107505212.23659","4940743628.78999","4948282904.36821","5155345488.17163","5159710611.41201","4672084841.36354","4599778741.80327","4692527184.88371","4834990348.82944","4935696862.29996","5187889444.43045","5500506595.16397","5786266082.77082","6076520548.82607","6481981074.07598","6996546997.81681","7562658299.31477","8000748390.13187","8051805798.74324","8287220575.32624","8178334217.9103","8013319838.55344","8087241813.38508","8660904873.45036","9396905524.77131","10417513103.2014","11706816630.7822","14340297575.8693","16050387659.8029","17900908154.3943","20429897627.7834","23313311404.2448","27255102211.2719","30352501114.907","32208419842.9135","33490607690.1137","34575847667.7103","38242657885.4946","40542447636.8663","37214453826.5698","39797122316.0686","42684909804.2166","44317641748.5567","45811313493.9316",
"Brazil","BRA","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","20144535805.4709","20306344243.8365","22156335973.3348","22608900782.7995","23428802130.985","27795653841.604","34017867385.1613","38640523529.7992","42977060150.8237","49687780077.3057","59085858298.3785","74789444943.6948","100938976441.527","126679141384.613","154047551448.018","170929419811.933","196340138745.356","235935293928.207","262863196815.961","262247722091.284","261017275926.865","229782137421.835","222631329073.746","209172768046.538","242176942407.521","286104429765.529","331069906212.316","385377224821.68","367751704450.406","381278537703.078","359862125313.451","362410045117.045","416537634770.633","556281947033.946","725639633505.606","852111648970.761","842277820409.276","726412681952.88","687477556780.305","593934957879.986","556554307896.793","543480885948.139","616154518607.021","743914453629.191","912923812568.382","1177507343561.97","1462688048354.11","1614029651588.85","1887913826015.15","2188955644191.21","2453809428042.69","2571101411893.45","2457007358711.86","2084247076763.26","1839991782355.98","1808496550076.77","1920050002203.86","1953066788958.56","1686362765413.99","1689214233969.27","1774306722169.84","1966123812518.7","2108530453342.57",
"Barbados","BRB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","122736882.012124","120443053.004005","129581955.48486","150114818.204434","152461762.895406","168551996.716718","178729221.585469","191766565.425273","213577153.875701","238238851.019294","267205511.625179","325763753.28217","393688245.012515","441284824.051459","519948031.993933","588728173.865906","670947999.935707","820813867.000256","871320381.410119","1037563761.25136","1116376918.65332","1138880986.75598","1263414146.02082","1359802723.65341","1518410982.21274","1727232111.93278","1924151371.5511","2042994900.51548","1983488193.7416","1981442823.92117","1961838031.40203","2029113662.49972","2120909307.11719","2218292107.11197","2322016447.13753","2427226274.56952","2537665187.59957","2655150418.86486","2926246625.7744","2895584900.86706","2913090224.71096","3099131588.45606","3383468809.81042","3658306698.03222","3948907132.41287","4326212742.04584","4527346518.07317","4426709287.7517","4598838318.267","4690638444.10099","5138292218.03966","5145168879.24819","5135400715.35107","5023568420.23274","5052290599.15663","5110449675.46021","5283598333.87203","5480458040.24292","4961390522.80959","5170224682.78901","6292322610.93682","6455714061.55981","6682283993.36912",
"Brunei Darussalam","BRN","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5097265086.74959","5470112769.49388","6145699594.59415","6455591052.2506","6439885656.14096","6596296113.92906","7123390188.21482","7515965660.28032","8119188746.53501","6561142060.17442","6376061634.34984","6328778926.33281","6423584442.67171","6448948044.01033","6878818026.22411","7830461240.36983","9212740768.28547","11201442652.1468","12414659457.1312","13864366155.4236","13653133363.8283","13877358391.0095","14583791159.686","16906792410.3399","18329653662.4067","17656796219.0699","16120407504.3151","13925295902.2249","12650668314.2046","12604811294.3462","13965446695.7624","13785012116.7097","13502130876.6977","14101780021.9434","15785128474.6128","16725104699.1241",
